time,absoluteSensor2.r[2],absoluteSensor.r[2]
1284.6,-0.014513844,-0.350479326
1285.2,-0.018182647,-0.344766564
1285.8,-0.021846383,-0.334226235
1286.4,-0.025505198,-0.319054382
1287,-0.029159229,-0.299438373
1287.6,-0.032808794,-0.27574325
1288.2,-0.036454247,-0.248375466
1288.8,-0.040095888,-0.21768437
1289.4,-0.043734184,-0.18418467
1290,-0.047369626,-0.148419613
1290.6,-0.05100269,-0.110913505
1291.2,-0.054633878,-0.072217993
1291.8,-0.058263765,-0.032958673
1292.4,-0.061892907,0.006259644
1293,-0.065521809,0.044882009
1293.6,-0.069151037,0.082291326
1294.2,-0.072781125,0.117906218
1294.8,-0.076412541,0.151207553
1295.4,-0.080045758,0.181673531
1296,-0.083681194,0.208835669
1296.6,-0.087319224,0.232269001
1297.2,-0.090960167,0.251606585
1297.8,-0.09460427,0.266551473
1298.4,-0.098251725,0.276861544
1299,-0.101902687,0.282331733
1299.6,-0.105557187,0.282883215
1300.2,-0.109215187,0.27850417
1300.8,-0.112876668,0.269163407
1301.4,-0.116541431,0.255010649
1302,-0.120209226,0.236248561
1302.6,-0.123879793,0.213085174
1303.2,-0.127552788,0.185817488
1303.8,-0.131227754,0.154852678
1304.4,-0.134904219,0.120613025
1305,-0.138581724,0.083509399
1305.6,-0.142259664,0.044097952
1306.2,-0.145937421,0.002945872
1306.8,-0.149614454,-0.039452561
1307.4,-0.153290086,-0.082470587
1308,-0.156963657,-0.125497586
1308.6,-0.160634552,-0.167965553
1309.2,-0.164302141,-0.209294612
1309.8,-0.16796579,-0.248899431
1310.4,-0.171624907,-0.286236812
1311,-0.175278948,-0.32081079
1311.6,-0.178927387,-0.35214537
1312.2,-0.182569756,-0.379821059
1312.8,-0.186205626,-0.403456219
1313.4,-0.189834647,-0.422751621
1314,-0.193456538,-0.43747308
1314.6,-0.197071043,-0.447413703
1315.2,-0.200678003,-0.452463946
1315.8,-0.204277354,-0.452608014
1316.4,-0.207869072,-0.447870523
1317,-0.21145317,-0.438312986
1317.6,-0.215029811,-0.424146718
1318.2,-0.218599205,-0.405630971
1318.8,-0.222161527,-0.382988199
1319.4,-0.225717136,-0.356627355
1320,-0.229266425,-0.326988962
1320.6,-0.232809753,-0.294480649
1321.2,-0.23634758,-0.259611002
1321.8,-0.239880426,-0.222947872
1322.4,-0.243408795,-0.185044259
1323,-0.24693318,-0.146441202
1323.6,-0.250454155,-0.107761945
1324.2,-0.253972274,-0.069607651
1324.8,-0.257488028,-0.032516907
1325.4,-0.261001957,0.002920652
1326,-0.264514561,0.03615749
1326.6,-0.268026291,0.066695434
1327.2,-0.271537567,0.094064683
1327.8,-0.275048765,0.117843376
1328.4,-0.27856021,0.137656768
1329,-0.282072176,0.153184414
1329.6,-0.285584851,0.164190132
1330.2,-0.289098364,0.170497645
1330.8,-0.292612826,0.171947731
1331.4,-0.296128205,0.16852515
1332,-0.299644407,0.160277598
1332.6,-0.303161344,0.147243518
1333.2,-0.306678787,0.129605976
1333.8,-0.310196429,0.107624662
1334.4,-0.313713949,0.08157362
1335,-0.317230982,0.051770298
1335.6,-0.320747033,0.018663689
1336.2,-0.324261586,-0.017279067
1336.8,-0.327774171,-0.055632611
1337.4,-0.331284165,-0.095822098
1338,-0.334790943,-0.137268456
1338.6,-0.338293942,-0.17945562
1339.2,-0.34179251,-0.221778346
1339.8,-0.345285997,-0.263633781
1340.4,-0.348773791,-0.304455184
1341,-0.352255299,-0.343696117
1341.6,-0.355729919,-0.380801277
1342.2,-0.359197094,-0.415260238
1342.8,-0.362656319,-0.446612734
1343.4,-0.366107119,-0.474432582
1344,-0.369549085,-0.498353883
1344.6,-0.372981831,-0.518039629
1345.2,-0.376405071,-0.533247879
1345.8,-0.379818584,-0.543803838
1346.4,-0.383222184,-0.549567661
1347,-0.386615758,-0.550472999
1347.6,-0.389999309,-0.546567509
1348.2,-0.393372884,-0.537944824
1348.8,-0.396736538,-0.524704674
1349.4,-0.40009049,-0.50711308
1350,-0.403435011,-0.485485231
1350.6,-0.406770314,-0.460081458
1351.2,-0.410096799,-0.431344971
1351.8,-0.413414889,-0.399746164
1352.4,-0.416724996,-0.365741182
1353,-0.420027578,-0.329833473
1353.6,-0.423323173,-0.292607205
1354.2,-0.426612307,-0.254633564
1354.8,-0.429895468,-0.216443783
1355.4,-0.433173222,-0.178651139
1356,-0.436446114,-0.141844054
1356.6,-0.43971462,-0.106543691
1357.2,-0.442979251,-0.073306598
1357.8,-0.446240473,-0.042642704
1358.4,-0.449498709,-0.015019269
1359,-0.452754335,0.009141419
1359.6,-0.45600768,0.029468684
1360.2,-0.459259016,0.04564337
1360.8,-0.462508577,0.057389818
1361.4,-0.465756492,0.064533522
1362,-0.469002827,0.066964571
1362.6,-0.472247651,0.064569465
1363.2,-0.475490876,0.057394233
1363.8,-0.478732354,0.045541992
1364.4,-0.481971931,0.029122887
1365,-0.485209355,0.00834674
1365.6,-0.488444268,-0.01647323
1366.2,-0.491676294,-0.045003707
1366.8,-0.494905052,-0.076907206
1367.4,-0.498130016,-0.111699902
1368,-0.501350639,-0.148878683
1368.6,-0.50456644,-0.188004316
1369.2,-0.507776789,-0.228490687
1369.8,-0.510981063,-0.269756634
1370.4,-0.51417868,-0.311263626
1371,-0.517369024,-0.352437172
1371.6,-0.520551461,-0.392686261
1372.2,-0.523725394,-0.431455897
1372.8,-0.526890266,-0.468231117
1373.4,-0.530045515,-0.50249274
1374,-0.533190629,-0.533770247
1374.6,-0.536325142,-0.561639017
1375.2,-0.539448638,-0.58572578
1375.8,-0.542560764,-0.605718292
1376.4,-0.545661195,-0.621334667
1377,-0.548749696,-0.632381324
1377.6,-0.551826114,-0.638745318
1378.2,-0.554890334,-0.640354774
1378.8,-0.557942291,-0.637184444
1379.4,-0.560982051,-0.62934288
1380,-0.564009732,-0.61698901
1380.6,-0.56702543,-0.60026036
1381.2,-0.570029421,-0.57947244
1381.8,-0.573022018,-0.554980796
1382.4,-0.576003505,-0.527109355
1383,-0.578974285,-0.496302384
1383.6,-0.581934821,-0.46306364
1384.2,-0.584885568,-0.427887935
1384.8,-0.587826984,-0.391274554
1385.4,-0.590759622,-0.353815959
1386,-0.59368402,-0.316091518
1386.6,-0.596600659,-0.278622564
1387.2,-0.599510097,-0.242005488
1387.8,-0.602412857,-0.206804823
1388.4,-0.605309412,-0.173531769
1389,-0.60820023,-0.142695938
1389.6,-0.611085744,-0.11476943
1390.2,-0.613966344,-0.090180139
1390.8,-0.616842366,-0.069305987
1391.4,-0.619714089,-0.052463104
1392,-0.622581733,-0.039911386
1392.6,-0.625445492,-0.031882581
1393.2,-0.628305438,-0.028489648
1393.8,-0.631161582,-0.029781644
1394.4,-0.63401394,-0.035811932
1395,-0.636862382,-0.046490328
1395.6,-0.63970671,-0.061656633
1396.2,-0.642546709,-0.081132818
1396.8,-0.645382104,-0.104683653
1397.4,-0.648212496,-0.131948
1398,-0.651037464,-0.162540703
1398.6,-0.653856611,-0.196104571
1399.2,-0.656669389,-0.232128054
1399.8,-0.659475234,-0.270084197
1400.4,-0.662273647,-0.309511109
1401,-0.665064009,-0.349828366
1401.6,-0.667845703,-0.39045481
1402.2,-0.670618142,-0.430840868
1402.8,-0.673380744,-0.470440083
1403.4,-0.676132899,-0.508680839
1404,-0.678874038,-0.545029151
1404.6,-0.681603639,-0.579000455
1405.2,-0.684321189,-0.61011678
1405.8,-0.687026226,-0.637953112
1406.4,-0.689718326,-0.662121713
1407,-0.692397134,-0.682303984
1407.6,-0.695062358,-0.698242301
1408.2,-0.69771374,-0.709714494
1408.8,-0.700351094,-0.716571654
1409.4,-0.702974334,-0.718762595
1410,-0.705583421,-0.716282796
1410.6,-0.708178333,-0.709147015
1411.2,-0.710759202,-0.697521277
1411.8,-0.713326212,-0.681625116
1412.4,-0.715879503,-0.661633333
1413,-0.7184194,-0.637905359
1413.6,-0.720946258,-0.610832275
1414.2,-0.723460423,-0.580793582
1414.8,-0.725962306,-0.548234962
1415.4,-0.728452402,-0.513685888
1416,-0.7309312,-0.477669913
1416.6,-0.733399162,-0.440682678
1417.2,-0.735856847,-0.403317303
1417.8,-0.738304799,-0.366152005
1418.4,-0.740743496,-0.329697594
1419,-0.743173477,-0.294527337
1419.6,-0.745595244,-0.26117689
1420.2,-0.748009257,-0.230138982
1420.8,-0.750415948,-0.201878404
1421.4,-0.752815712,-0.176824598
1422,-0.755208899,-0.155359364
1422.6,-0.757595812,-0.137818293
1423.2,-0.759976678,-0.124460771
1423.8,-0.762351661,-0.115485299
1424.4,-0.76472092,-0.111079749
1425,-0.767084472,-0.111296623
1425.6,-0.769442281,-0.116129012
1426.2,-0.771794298,-0.125560895
1426.8,-0.774140369,-0.139470412
1427.4,-0.776480247,-0.157640709
1428,-0.778813659,-0.179830906
1428.6,-0.781140314,-0.20578111
1429.2,-0.783459778,-0.235088359
1429.8,-0.785771591,-0.267323523
1430.4,-0.788075347,-0.302110203
1431,-0.790370481,-0.338916179
1431.6,-0.792656427,-0.377203363
1432.2,-0.794932659,-0.416476576
1432.8,-0.79719859,-0.456180115
1433.4,-0.799453612,-0.495733889
1434,-0.801697143,-0.534587885
1434.6,-0.803928634,-0.572221707
1435.2,-0.806147511,-0.608089839
1435.8,-0.808353238,-0.64168734
1436.4,-0.810545333,-0.672559978
1437,-0.812723333,-0.700275086
1437.6,-0.814886833,-0.724455431
1438.2,-0.81703546,-0.744757918
1438.8,-0.819168917,-0.760913423
1439.4,-0.821286974,-0.772721378
1440,-0.823389445,-0.78002219
1440.6,-0.825476193,-0.782709227
1441.2,-0.8275472,-0.780791895
1441.8,-0.829602499,-0.774331011
1442.4,-0.831642116,-0.763380652
1443,-0.833666242,-0.748160229
1443.6,-0.835675117,-0.728936022
1444.2,-0.83766895,-0.705944767
1444.8,-0.839648085,-0.679558867
1445.4,-0.841612926,-0.65020842
1446,-0.843563872,-0.618319755
1446.6,-0.845501343,-0.584340453
1447.2,-0.847425861,-0.548818062
1447.8,-0.849337941,-0.512295219
1448.4,-0.851238049,-0.475264058
1449,-0.853126745,-0.438311199
1449.6,-0.855004569,-0.402002199
1450.2,-0.856872003,-0.366844906
1450.8,-0.858729555,-0.333374925
1451.4,-0.860577708,-0.302098231
1452,-0.862416899,-0.273479737
1452.6,-0.864247527,-0.247942735
1453.2,-0.86606995,-0.225869546
1453.8,-0.867884472,-0.207590724
1454.4,-0.869691363,-0.193400487
1455,-0.8714908,-0.183500354
1455.6,-0.873282896,-0.17802894
1456.2,-0.875067766,-0.177123051
1456.8,-0.876845384,-0.180783419
1457.4,-0.878615665,-0.188947076
1458,-0.880378501,-0.201530447
1458.6,-0.882133716,-0.218381927
1459.2,-0.883881019,-0.239232412
1459.8,-0.885620087,-0.263784147
1460.4,-0.887350615,-0.291753049
1461,-0.88907214,-0.322700705
1461.6,-0.890784177,-0.356163077
1462.2,-0.892486304,-0.391742456
1462.8,-0.894177956,-0.428895828
1463.4,-0.895858567,-0.467078326
1464,-0.897527597,-0.505772384
1464.6,-0.899184489,-0.544444628
1465.2,-0.900828653,-0.582523785
1465.8,-0.902459524,-0.619469114
1466.4,-0.904076587,-0.654785198
1467,-0.905679307,-0.687958464
1467.6,-0.907267193,-0.718519777
1468.2,-0.908839801,-0.746045888
1468.8,-0.910396727,-0.770152587
1469.4,-0.911937621,-0.790512039
1470,-0.913462172,-0.806832157
1470.6,-0.914970135,-0.818889211
1471.2,-0.916461348,-0.826541022
1471.8,-0.917935695,-0.829691714
1472.4,-0.91939309,-0.828275445
1473,-0.920833582,-0.822360081
1473.6,-0.922257273,-0.812068599
1474.2,-0.923664238,-0.797494143
1474.8,-0.925054726,-0.778904862
1475.4,-0.926429025,-0.75660802
1476,-0.927787412,-0.730900737
1476.6,-0.929130249,-0.702163101
1477.2,-0.930457982,-0.670858988
1477.8,-0.931771056,-0.637452582
1478.4,-0.933069902,-0.602393806
1479,-0.934355061,-0.566240822
1479.6,-0.935627068,-0.529546138
1480.2,-0.936886391,-0.492797783
1480.8,-0.938133588,-0.456569315
1481.4,-0.939369186,-0.421406326
1482,-0.940593671,-0.38781065
1482.6,-0.941807518,-0.356276479
1483.2,-0.943011183,-0.327276403
1483.8,-0.94420508,-0.30123961
1484.4,-0.945389575,-0.278550056
1485,-0.946564984,-0.259539586
1485.6,-0.947731567,-0.24448387
1486.2,-0.948889559,-0.233635944
1486.8,-0.95003909,-0.227139309
1487.4,-0.951180226,-0.225077586
1488,-0.952313025,-0.227522559
1488.6,-0.953437436,-0.234439031
1489.2,-0.954553322,-0.245706113
1489.8,-0.955660522,-0.261175925
1490.4,-0.95675884,-0.280668269
1491,-0.957847946,-0.30386683
1491.6,-0.958927476,-0.330423637
1492.2,-0.95999711,-0.360030883
1492.8,-0.961056366,-0.392221227
1493.4,-0.962104746,-0.426511308
1494,-0.963141798,-0.462460885
1494.6,-0.964166983,-0.49954533
1495.2,-0.965179734,-0.537210668
1495.8,-0.966179508,-0.574927418
1496.4,-0.96716578,-0.612182733
1497,-0.968137981,-0.648421278
1497.6,-0.969095577,-0.683120226
1498.2,-0.970038085,-0.715808863
1498.8,-0.970965014,-0.746010495
1499.4,-0.971875926,-0.773296848
1500,-0.972770419,-0.797278398
1500.6,-0.973648147,-0.817620317
1501.2,-0.97450882,-0.834045772
1501.8,-0.975352192,-0.846318169
1502.4,-0.976178069,-0.854256363
1503,-0.976986357,-0.857776729
1503.6,-0.977777014,-0.856846792
1504.2,-0.978550002,-0.851440809
1504.8,-0.979305434,-0.841682166
1505.4,-0.980043475,-0.827746278
1506,-0.980764264,-0.809781925
1506.6,-0.981468086,-0.788084087
1507.2,-0.98215528,-0.763002275
1507.8,-0.982826187,-0.734886756
1508.4,-0.983481186,-0.704125354
1509,-0.984120757,-0.67120868
1509.6,-0.984745384,-0.636629739
1510.2,-0.98535551,-0.600840833
1510.8,-0.985951689,-0.564403605
1511.4,-0.986534463,-0.527869558
1512,-0.987104313,-0.491728157
1512.6,-0.987661779,-0.456527235
1513.2,-0.988207375,-0.422790427
1513.8,-0.98874158,-0.391003504
1514.4,-0.989264842,-0.36162257
1515,-0.989777588,-0.335081435
1515.6,-0.990280197,-0.311767167
1516.2,-0.990773007,-0.292025553
1516.8,-0.991256291,-0.276135666
1517.4,-0.991730261,-0.264316558
1518,-0.99219512,-0.256778123
1518.6,-0.99265095,-0.253608078
1519.2,-0.993097773,-0.25483586
